type,key,k1,k2,M,m,a,e,i,x,y,z,vx,vy,vz
binary,8273463565229809535,8797034746788882819,5892419589083432945,605.0257115434398,3323.228925390258,256.2887711644701,0.7554863214501862,115.37471879167103, 1.8474095061854368,0.09546586216381042,-2.9741915790202818,-0.5655319276179459,0.3479050236838999,-1.4880566473283101
binary,17481491243077264539,5795169008966647635,3730003142771656458,793.5316159575912,831.896648208141,439.8871081920628,0.6755235811262322,107.69216858438708, 1.9485830069945378,0.16556091021351493,-3.9647250441501978,-0.37367679703199097,-0.11967220573292142,0.8545798912030543
binary,835334718931790924,17958835316235137328,6798939734610603036,1045.4550134861759,364.47657084916915,348.69444144066125,0.9368221463297175,103.18059610477441, -2.95821596511291,0.6329429446602269,7.302177391848971,0.6703016767558438,-1.171349043256937,2.036590204460738
binary,12976058379883304094,6256191535295990924,2808456364476358720,0.22426008170734438,677.9714735774605,502.50334339414275,0.49376259014645885,54.13266327065048, 2.3050602829784688,-0.21865440310611892,-3.624768202154794,-2.466153860687051,-1.0677274800027112,-0.7992600284163398
binary,5603933389272383027,6719147724658904480,12633397388878085377,2.410037448492211,692.4361130816003,241.9405789064915,0.7638204249542301,128.69705494731488, -2.8983061102474794,1.3275493394177744,7.364108321335761,0.14717463222134308,-1.0686870295099027,1.8737775874961557
binary,9284248608074161378,4948282510900372492,3739202438059312270,2.1360831406416496,726.0851724423648,428.83134876982956,0.9062202564200981,108.255617704808, 0.32966139157371854,-0.9547374891136016,-2.4687609126152426,-0.9085122919828457,0.0174101503739728,0.6606862045282497
binary,4100904812878984909,15777102506983881252,10449605335919510766,771.4644098802596,13720.826042602472,565.0047762771878,0.4687687420578175,64.53071921219819, 1.1261841219036821,-0.46190069734090033,-3.1339748830967578,0.06630179861507261,0.8561277417970234,-1.7056550261967274
binary,12880049979166457455,17031124368426464239,1156021772645415764,1091.3202781294947,1304.1331474307788,559.8851803613312,0.9488969483236736,60.61094713751796, -3.29220247547517,0.5839313699949931,7.5374420381233165,0.7087849986956152,-0.9847868837542696,1.578113815966938
binary,16213368470401499110,12810319283222154082,9848925819704340281,4.022213337695938,765.9167604586073,177.12546371456236,0.26019972033583716,156.21226283864303, 1.0448144014951841,-0.25777917035402753,-3.455980205715599,0.8152051128034606,-1.4218190557606327,1.2258424353672193
binary,10341193460919802786,3029511132502124308,9635088693463257705,1125.087955652976,1501.0622371108998,141.4128424186797,0.9497403419009652,107.61548876235246, 3.73221673323054,-4.551220558268607,-4.294326101357717,-0.3853052789791916,0.7218484979889129,-0.9147644836288295
