type,key,k1,k2,M,m,a,e,i,x,y,z,vx,vy,vz
binary,1056807511062594697,14494727573948188264,16526686880892612357,0.20062212036481702,1.2806846519904163,58.7183476617833,0.48279373747853255,42.72725947760377, -0.6352555857040701,-0.5284725582247841,-0.787108253883998,-0.6002488472980736,-1.257108831584264,-1.1447968138837026
binary,5137983138442002990,4053291893752016800,17056545916128627086,2.9601885545525217,4.867686038902085,11.989411322731824,0.15473172518772532,119.09193678556925, -0.3386459222929355,0.35065398649744156,0.2362902307553527,3.265513919417389,0.4087194842193728,0.6267566849955201
binary,16858716670687236815,5898161048584060638,16688207951747064803,2.648205047197074,15.579335526924348,12.20738918669693,0.7041501992817374,109.68558586879251, -0.9212040594769738,-0.39101709362508313,0.5383183597983957,2.1700062239330147,0.11527744252358083,-0.6660611332264709
binary,9928743378667782316,203701134676235344,3454386178513877290,2.0809694224640314,6.339751816526876,31.7380353865333,0.7934064127857892,65.32520488432012, -0.3257241395448096,0.09769033274072272,0.4144389555967437,-0.7315272798529145,-1.7078948454508236,-0.06346221761506726
binary,11824971437140458180,17178632848882666733,1850628848978466924,0.7959818650221321,5.709663898309443,193.72858484147451,0.6439538108818492,75.89344937954132, -0.8028638595219127,-1.0787021658968985,-1.8095597652983288,-0.20841069965595702,-0.5834433190312903,1.3397407978589098
binary,13804276933525464388,3377942174414313414,6259276871600934207,10.837571759637642,9.494813240675873,19.196182827386302,0.7341782298927053,132.76723934827533, -0.037962167764717364,0.04136779918052607,0.2747335851068093,-0.946577184352118,2.531605071759192,-0.6689964064346725
binary,14654446354179358747,11806843651386302383,4289103977054260549,0.27794346741313536,1.676010999730739,238.6439930401502,0.6451467603352806,86.39026190486129, 0.9697420627242903,0.007568993904410818,-1.1627470031476759,1.2779484678019666,-1.2380760664078914,-0.6881986177487139
binary,13594771318584982720,11957189271608887895,18418713060626593812,1.0695943223996836,9.384421117428662,67.77062638712495,0.14424509820005516,163.5199462752884, -0.09477746544597986,-0.5536968904575715,0.304001112367503,-2.6502552659260106,0.013096914453166051,-1.094700793316755
binary,15157033437968576854,15782200962628671568,3947172471325086645,0.0058386124445914634,1.1560577898218751,81.23543586555994,0.5236201024206598,136.71153143697143, 0.16836653388607534,-0.1461588452217291,-0.013009937147281983,3.358177910349033,0.95308866848672,1.430022284022836
binary,609172346020245301,15237920176095616465,10970316071587776062,3.5299302501643606,2.8504101248233606,56.94372411126814,0.906290828667603,108.82884784969205, -0.0255729604146713,-0.2664898404791588,-0.08973049763331403,2.0229223924929562,2.184159352672064,0.38746856529181506
binary,16729468908088654352,11086183826197801523,6514826983306737362,1.978915985076754,2.6150098497512873,11.875640605587055,0.39953227249936457,117.94161616100894, 0.09480758663739994,0.12009670172204291,-0.07230195425497456,-0.35499928712926254,3.089248851539969,-1.4523722576289884
binary,14849061064772043917,5036562259864700435,2750457325697239446,2.092214479007383,11.956179364468156,50.11253823429127,0.5078004713708398,82.22378822185219, 0.1969616150663213,-0.2202277071141723,-0.02513129478093189,1.625398060534201,-1.5124452024356245,-3.1519694885822487
binary,2067864728765121639,14580771166220320564,15029844365621047891,0.7760691767280906,1.479567410811756,25.42997811163046,0.806418698147305,99.27513452256488, 0.5179027273713983,0.019952721420157526,-0.39086498039366585,0.5112792568317591,0.5151225040165492,0.08204759166735985
binary,16581910000407220578,13645767904051842721,13568475122721965684,0.3966222563067838,3.5322990098309295,19.327730350498403,0.7050710909864011,121.29704956730599, 0.13348533869087092,0.09824646236154105,-0.027684048091042607,2.813936881829026,-4.100695766918261,2.33686329985294
binary,16114351079824038215,17516018989742660280,317124266635581430,0.051899486669226134,4.683404405239664,14.39902301356426,0.8719774283710657,140.27600346043607, 0.17944987039649885,-0.26046953789513344,0.017031054182828197,1.8057657136309904,-0.6925872336617215,2.416424855781077
binary,1562860541822478263,15581645876044832561,17598882767748942580,0.8927978882662393,4.653628108714821,187.57333948757767,0.519587888703314,81.83388793899869, -0.31274155985674773,-0.34124519570265327,-0.6946514293744296,-1.6596781026789797,-1.4069013139174442,0.4733563247748685
binary,16065253180884144746,6247861977610614265,13239462846474474777,1.2118557512030983,1.5965909688500388,85.32832568349701,0.7703134545894341,71.16382085377849, 0.33897750063937965,-0.082687982699675,0.1181941782723436,0.6077692592000913,2.48597700163024,0.45695564550896217
binary,5825551948044022699,2139690075504141102,7207175808422867724,0.618732224668128,4.002746025986276,106.54452584372044,0.4842847037476082,119.76651099530947, 0.2235834292426205,0.11344919240494444,-0.0525175656640154,2.345280484496518,-0.8824166009111152,3.381195799440942
binary,17575324043820304348,4755341288610799846,6496059373682138497,1.0243089342398655,1.3174974845977776,29.347076375526296,0.9256149637198768,123.7583438732794, 0.4064059893180065,0.35261484821452416,-0.35566616577273114,-0.0495084978090925,-1.123991328583158,-0.8708356896471474
binary,12823782567471154504,13806024572202225561,8700014542204224519,0.7006893616053365,2.2116081952853435,44.6908643135481,0.8612505351845188,87.19400594882987, 0.12917277653969936,-0.7913825878262953,0.2066590553586127,0.30016759026936923,-2.578925578510295,0.6040398188810219
binary,15589985286127872518,15531279829970760213,1556710427022660989,0.5757909607783248,6.459456358973766,73.21668421196551,0.7337693382829075,109.39275387401608, -0.012437381263087164,0.2401682257976297,0.0719494289617948,2.5200674663997336,1.4873206368883929,-0.392994638583085
binary,18089808835025287941,7552255326740050838,8118347474704591231,0.02881541974350743,4.517547438720252,60.25524890250791,0.27404480550327015,102.020743831483, 0.1786041066745464,0.598634093083874,-0.09634573316417645,-0.14096672655175724,0.21429673642334923,1.3869962062207573
binary,16652753131745976017,11929550753050413798,380013235787541849,3.493281342187962,6.384529838666537,592.1559130895656,0.53081967189209,92.6480223583842, 0.11078117568601809,-0.4374265687778718,0.10726178098740018,-0.8137577574389273,2.0551866707240833,1.0863472269543166
binary,8779328891951190680,3144392310457259983,14063321776604389043,1.0513065104576982,10.681822308940408,57.677617801193264,0.8350271420524324,134.7111769661993, -0.20682630691454992,-0.0404553341095537,0.30170995001852585,-2.321432107539177,-3.1544374459665985,0.8824562600086576
