type,key,k1,k2,M,m,a,e,i,dx,dy,dz,x,y,z,vx,vy,vz
binary,7278882110410100965,6224560865342748817,2348190946871864329,0.6271760339257614,431.89402317589906,404.80602887325597,0.09181398134063454,153.62259558834216,408.0463657457152,-163.8147174263379,-43.663365345648735,-1.235074143350812,0.7475311571727681,0.003227870657593227,0.1267984673146435,0.8368647997922124,0.23396244473344138
binary,978357821032945477,9064514780461584115,10896655669141259974,3.7982068456940774,433.77584035117553,351.1251095003586,0.3298582462487977,25.294397580314,-153.91795492646182,-379.1144157396822,-174.2516270764826,0.4575137627050593,-0.2583781060646104,-0.979721222991428,0.2564189425102091,0.23571141838544732,-1.7214664493012384
binary,4006801082987834072,9380772401071839624,9411831318212659045,9.49240969937232,436.2377582820613,704.4960838585889,0.41459085163860837,94.79565055668134,-180.00005317024878,714.3372367156228,654.9353949951068,-1.1746259679993503,-0.3863538881988442,0.2014547826930805,-0.6952976458567549,0.9772584151269543,-0.60111078615507
binary,15168049654934942491,16290312446494780251,13301852368642508763,7.667486186829194,440.43676925598,995.7418772114899,0.03741163387199009,130.73395357831066,942.1346349896089,-405.37623277644946,61.981540358687965,10.441320002022124,-5.815186525393856,5.432634298895431,0.20323008185814925,0.2368476286123092,-0.047026937632390686
binary,1659101205570492269,8479361935141942874,6513571483572063201,4.312125263822969,454.9658912672927,702.8551454263524,0.13455197047065548,40.14661977961995,-524.2615564494284,569.6539256884415,95.97036217943798,8.292752029254915,8.99444005094765,4.815831930881231,-0.27835517200532717,0.33719058820087916,-0.32612769064132896
binary,306678550508102610,5225878591807614075,10001032312749232704,0.6903827197151382,457.07205155251035,425.5629575547136,0.13091919242750433,24.198076561631584,282.26636876973544,346.0820892173483,-179.24455580990565,0.09360968316975209,-0.880288059929963,0.1812684586121135,0.2545482003579695,-1.1444429253299735,-0.4157652504540087
binary,17745438069624235108,1852546001426475143,10966437479347844690,2.1605430765655402,465.69093655512603,835.4199024114209,0.7893362628066952,113.90181559218462,394.713040328671,-448.5577487077003,1187.170694188915,0.5678847061360157,0.002741330135878718,0.5523239259135629,-0.4291950013829648,-0.2360615298910334,-1.0208927757429287
binary,330309318250046478,4243000464957556057,6274745093036514579,0.7401446463825927,471.9993217596463,526.3152830746741,0.1255310771521705,110.21377183232066,331.9806776457536,-456.7259288782947,-129.84159357874853,0.7567378833123298,-0.4949425248737211,0.1787855068604167,0.20579749760704372,0.7713170779337719,0.8884708785454661
binary,12413689014666470139,8638937711622101981,253501317522684378,0.6072083919282176,472.928785574844,819.1477629703926,0.20849843724375997,98.13656915484479,-446.14302227746407,307.5361318121209,645.3198326558258,0.8009391877062837,-2.2125952264710227,-1.7371714553469642,-1.1137289905997867,0.17181076416935478,-0.1710125392617067
binary,15215246322810806127,9093048624229884037,12809781283464252921,0.4694694594138882,477.3335110023512,734.5823286017594,0.33415119049848585,69.10395928099724,-380.7966727804714,471.65365343181907,-723.4475620303533,1.0008621947470042,0.24588823756030548,-0.7389186059308465,0.6038113228952975,1.1565923611429096,0.9121037552423267
binary,14331203976511584665,5004968023101503874,16816479561217764296,14.123104631621727,482.1632854029198,411.03959293690986,0.0075686569440811665,153.97467359926577,-205.80504484239458,323.3742438583945,-153.6618184493448,0.7709648173201873,0.5690374048482172,0.17683168993649534,1.0614201874595308,-1.1055086408391082,0.14098693381284663
binary,15441777282308502838,17459464094501510570,3051747209733925607,1.8619987610376862,527.732925114115,375.88186681812806,0.014516527850966649,87.50793586260298,-18.749432546680925,-100.72152908771645,367.22518306491526,-0.9071110757002774,-1.6726543055705283,1.5196691710573003,-0.6169094400953185,-0.4660921047492708,-0.008611853996345172
binary,1112555324722806648,3931611812464483394,15703983053483124436,0.08345371669239345,528.6487654721778,447.499132268734,0.38312214448585,135.48274275436506,-339.9631127372434,-285.3777099141051,411.3397478246731,8.937885956589088,-3.0973672633472673,-1.5106182875578233,-0.372529096514408,0.08562108369401839,0.4183749099131742
binary,15423420679140939992,6467387666711715543,7575106772993612414,0.09455628713571387,532.6139140953466,965.5500533831297,0.15595930859784832,132.8932103023431,-155.31869711951634,939.0754856484176,253.18301654740495,0.6570067606466055,1.888247535854435,0.6457625239400179,0.8182738505513452,0.7987838240343923,0.09197381596942363
binary,1333272435893877262,16474156774941869941,8697006964018350019,3.5349016448621353,538.5822100704797,218.63235780437967,0.06943403490551837,105.42731658490237,-143.10870198363043,25.87056073398266,-169.54064427550617,0.3777293359971255,0.42600200863246923,-0.18464390312649623,0.7363175629396049,0.7486816482844282,1.1877067855753751
binary,14042430929402410717,3126179875139164389,2104386494091997630,0.4559781052298705,548.561985120511,904.4237632727404,0.2444796370703575,64.59986067039274,661.4603431474987,-389.2975272456714,517.2910457811591,-0.8381020608968852,1.0995655229703707,-0.18953214701977733,-1.150852977153745,-0.661599194337738,-0.035133753242659986
