type,key,k1,k2,M,m,a,e,i,dx,dy,dz,x,y,z,vx,vy,vz
binary,12737328922166172260,12935416397014826442,18168888907101995373,1.7457048195856075,0.0,842.338294890052,0.9807372044460432,97.83254102556985,-109.93045731361718,-186.7203713983476,-221.55482357307372,-0.03446905081596115,-0.11591430639484122,-0.5620569080722407,1.431486027681429,0.31359235131804325,2.0790027825597113
binary,3189806380854113418,8831878070085168266,4998939138983513389,2.0786194043113793,0.0,268.49382706297354,0.8680299311930573,77.26642683236204,-97.7808383370528,169.3872947159567,-455.1338360454766,0.7824098540291325,0.9038529638605726,0.45790690184865235,-0.7321882686179411,-0.9755656148498003,-0.06121987872163867
binary,13732492660622873926,16886605943472998621,3862320056937679215,3.0499012362016797,0.0,111.25040909169654,0.9806574518849803,96.86689752852051,30.272495744021658,59.898439352339565,47.181508604564875,0.4842205194855855,1.4843391736106493,0.6191703439239338,0.04723274450986797,0.46456737785863966,0.5107025798203265
binary,3281171213045724915,3673254212772097217,14899756196453313471,4.297489853145972,0.0,206.68542599158488,0.9474814308308582,102.30476465056898,25.239593596968934,123.55501263208818,-325.0400827488607,-0.06054969806008609,0.33918583373545635,1.5854810585720513,-0.12080756660192954,1.3635616660794196,-1.3615624524836085
singleton,42760066794511998,0,0,83.83720832162993,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6268180002025798,1.4244292089013146,0.9882050697971343,-0.5048478581454103,-0.2972646529346975,-0.3830338361218044
singleton,14952556973952629705,0,0,83.84930342114032,0.0,0.0,0,0.0,0.0,0.0,0.0,4.178494032515732,1.9313278166661805,-1.0864039917733954,0.4244285258565268,0.01758946877346685,0.08967847721394527
singleton,2075405975531646773,0,0,83.8870443471579,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.8376733199707448,0.14893385889077077,2.5401030537888243,0.28174295176546,1.0724560199713813,-0.8739685466167536
singleton,8871698140673023403,0,0,83.91798933118048,0.0,0.0,0,0.0,0.0,0.0,0.0,0.7657239521243044,-0.597696757800813,0.5434025800904106,-0.764418419129049,0.7146542049972847,0.4516157707293802
singleton,17920088202173503909,0,0,84.24676024783278,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.67876401856876,1.851200206211851,-0.9664598390937986,-0.8958343856402602,0.13431829862597647,-0.5834673620291407
singleton,3704254611235348817,0,0,84.2534538796221,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.736500669293719,-0.46750182922971617,3.6687196090698766,0.26128021383579075,-0.44669776983301746,0.10729609159053743
singleton,16047643506940588311,0,0,84.26763276598223,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3049493065803506,0.45061758234007027,0.04029799901468499,-2.01571959557529,-0.41805495115002617,0.37458176520370573
singleton,10578613151346420345,0,0,84.27660374666168,0.0,0.0,0,0.0,0.0,0.0,0.0,0.02441367423944769,0.6401519767727603,0.23349331032054266,1.4250170776568427,-0.5822047228916537,-0.1561464178089287
singleton,61731074564664753,0,0,84.30539086763342,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6113879382212859,-3.136653876975501,-2.7756628297256984,0.6711961965464408,-0.04742810927870472,0.11808960598528112
singleton,17410148294093365689,0,0,84.50514128323248,0.0,0.0,0,0.0,0.0,0.0,0.0,1.8256827529175474,-2.3515563431278412,1.4605667082995197,-0.829162856652413,-0.6456461994138208,-0.4114240124214716
singleton,7236393625193938,0,0,84.5051750338675,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.4508828441268577,-1.8415076550629559,-1.2175721404150337,0.6558398744615854,-0.19736106354697566,-0.9811761374163727
singleton,3339604158039812119,0,0,84.52295804934695,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.5235195753783757,-0.3406477191288447,0.4553558764130236,-0.3816509629599282,-0.5493856699654821,0.8068281865582648
singleton,16764394304771479399,0,0,84.60629861368619,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2916731099882554,2.2849203601162045,0.1919670404924371,0.15890634163587086,-0.7941951708649497,1.4543416927732062
singleton,9991381928565232174,0,0,84.67397459959679,0.0,0.0,0,0.0,0.0,0.0,0.0,0.422800163700042,0.7025336242131919,0.30669092899376765,0.4325228812059078,0.07089357444786239,-0.328631320563162
singleton,16279458843673308257,0,0,84.70782030225152,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.6429810423786881,-0.2764366601437794,-0.7749417765768111,-0.8045198847961696,-0.5827826225345643,-0.3720276716290114
singleton,12040739649085554619,0,0,84.73817867914977,0.0,0.0,0,0.0,0.0,0.0,0.0,0.45735969926372033,0.2192817029408796,-0.16043693809743606,1.4736049280013364,0.8269533225387771,-0.3882798676052937
singleton,6013811403989852585,0,0,84.98010570486662,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4271514143521517,-0.16561956438021935,0.19328579505398136,-1.0755196719859643,-0.8193704235108064,-1.059201177970991
singleton,10969507172677958615,0,0,85.1072127452381,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.330694126653493,-0.4368529003718017,0.3395452172344034,0.7492898146189018,-1.0132397174975725,-0.10694677156198322
singleton,17895730821824704779,0,0,85.12467771512084,0.0,0.0,0,0.0,0.0,0.0,0.0,0.7099561101768346,0.23667798361691456,1.0295441622744252,0.2863502601277201,-0.6687101649141515,-0.36102196808783654
singleton,18394385787722502871,0,0,85.17664528951887,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2837102799403968,0.6781736663966933,-0.45644923032599993,-0.30929447359121076,-2.2317741951791894,-0.00028826552052163855
singleton,1053015430038822394,0,0,85.28139457742238,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.4511834302687634,-0.32830161220113385,-0.09704277838675666,1.5722260440395475,0.1301042227883832,0.353600245415434
singleton,1293389685060418631,0,0,85.35818873226933,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5644176766060304,1.015296741014296,-0.4567167667117975,-1.003374963014181,-0.04387147516991266,0.6769057867984756
singleton,5969481275771069854,0,0,85.37512642587384,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25848561057222763,0.532547840918041,0.6528295119856586,0.3536235413737249,-0.6997995674386592,-0.85300585697618
singleton,3210855521961958399,0,0,85.39126302381338,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6482722693617325,0.6537993754560157,0.4955575147251058,-0.13430494451502464,0.19823602979742963,-0.8340933279005366
singleton,8857034939656645348,0,0,85.47636563754884,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.23661038604047263,0.32293657579773277,0.06017652358946835,0.47666731692919434,0.30864636466423123,-0.1296915353300675
singleton,12760401285748325988,0,0,85.48062267490405,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.4462740535982886,0.5312007302782435,-1.0938796344695307,-1.1823575293148305,0.7335573102596881,-0.12123339516293904
singleton,12892978225987955807,0,0,85.49041734288242,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.4692051555068651,-0.7476999419302263,1.3897777458006653,-1.174099919519394,-0.5912552784912682,0.25409210992523146
singleton,10161575206628105584,0,0,85.49386011753329,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.27877542055148863,-0.0366607101261992,-0.161311498362361,0.7067570775800022,-1.731607404329974,0.903377130633289
singleton,14839681113910029350,0,0,85.52874810167084,0.0,0.0,0,0.0,0.0,0.0,0.0,2.6896282804893574,2.0239167199064143,-0.3694092179570266,-0.30195878581828217,0.3229309827348873,1.1390262504894102
singleton,18025477143127358954,0,0,85.56920450435697,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.46761189658208985,-0.385705796291329,-1.5404326371359633,0.05550595669043908,-0.27483372771474923,-0.2930853193207704
singleton,2887226536346923644,0,0,85.66806881055949,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.12327144137355309,-0.20329396379202758,2.4840804441678674,-0.30991975943124256,1.342307677870856,-0.4207078769927626
singleton,10061208737851326721,0,0,85.69446501101632,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.08294991367377655,0.964893378079366,-1.4908061672905675,-0.41250673971045476,-1.4426012163659097,0.07851085571188686
singleton,15369510224010208766,0,0,85.69561095677562,0.0,0.0,0,0.0,0.0,0.0,0.0,1.4748951766262561,-0.14302243067729153,0.41512960651596836,-0.5165331844587641,-0.7093326394395877,0.2070975897499932
singleton,16005188701523324836,0,0,85.7347406578497,0.0,0.0,0,0.0,0.0,0.0,0.0,0.055123897886663845,1.0470362865052563,3.206080136355193,0.2484050693883549,0.33828826627074454,-0.454126608126712
singleton,18301701975245308278,0,0,85.8693559326318,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7254866426483093,1.284889282595735,0.9007832602949316,0.6694574769404679,0.023645200565242965,0.5024271471911786
singleton,4110017483147481045,0,0,86.11192899651905,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6151054309149169,-0.10611814074883191,-1.4113540855869295,1.2135663724762171,0.23719983830611746,-0.4720395199128802
singleton,2759292774718279888,0,0,86.18912035489763,0.0,0.0,0,0.0,0.0,0.0,0.0,0.9327372659489651,0.9579892861645711,1.1008822014700228,-0.6522150031768056,-0.06986803220296516,-0.09921422275438645
