type,key,k1,k2,M,m,a,e,i,x,y,z,vx,vy,vz
binary,6886205875625862131,6224560865342748817,2348190946871864329,0.6271760339257614,431.89402317589906,404.80602887325597,0.09181398134063454,153.62259558834216, -1.235074143350812,0.7475311571727681,0.003227870657593227,0.1267984673146435,0.8368647997922124,0.23396244473344138
binary,1046850597213988649,9064514780461584115,10896655669141259974,3.7982068456940774,433.77584035117553,351.1251095003586,0.3298582462487977,25.294397580314, 0.4575137627050593,-0.2583781060646104,-0.979721222991428,0.2564189425102091,0.23571141838544732,-1.7214664493012384
binary,5983149413336211425,9380772401071839624,9411831318212659045,9.49240969937232,436.2377582820613,704.4960838585889,0.41459085163860837,94.79565055668134, -1.1746259679993503,-0.3863538881988442,0.2014547826930805,-0.6952976458567549,0.9772584151269543,-0.60111078615507
binary,15446990299613275087,16290312446494780251,13301852368642508763,7.667486186829194,440.43676925598,995.7418772114899,0.03741163387199009,130.73395357831066, 10.441320002022124,-5.815186525393856,5.432634298895431,0.20323008185814925,0.2368476286123092,-0.047026937632390686
binary,11985508607150718060,8479361935141942874,6513571483572063201,4.312125263822969,454.9658912672927,702.8551454263524,0.13455197047065548,40.14661977961995, 8.292752029254915,8.99444005094765,4.815831930881231,-0.27835517200532717,0.33719058820087916,-0.32612769064132896
binary,6519732565715463458,5225878591807614075,10001032312749232704,0.6903827197151382,457.07205155251035,425.5629575547136,0.13091919242750433,24.198076561631584, 0.09360968316975209,-0.880288059929963,0.1812684586121135,0.2545482003579695,-1.1444429253299735,-0.4157652504540087
binary,4800514738792507071,1852546001426475143,10966437479347844690,2.1605430765655402,465.69093655512603,835.4199024114209,0.7893362628066952,113.90181559218462, 0.5678847061360157,0.002741330135878718,0.5523239259135629,-0.4291950013829648,-0.2360615298910334,-1.0208927757429287
binary,15182293310273039800,4243000464957556057,6274745093036514579,0.7401446463825927,471.9993217596463,526.3152830746741,0.1255310771521705,110.21377183232066, 0.7567378833123298,-0.4949425248737211,0.1787855068604167,0.20579749760704372,0.7713170779337719,0.8884708785454661
binary,13541450976327553121,8638937711622101981,253501317522684378,0.6072083919282176,472.928785574844,819.1477629703926,0.20849843724375997,98.13656915484479, 0.8009391877062837,-2.2125952264710227,-1.7371714553469642,-1.1137289905997867,0.17181076416935478,-0.1710125392617067
binary,14661634490953848263,9093048624229884037,12809781283464252921,0.4694694594138882,477.3335110023512,734.5823286017594,0.33415119049848585,69.10395928099724, 1.0008621947470042,0.24588823756030548,-0.7389186059308465,0.6038113228952975,1.1565923611429096,0.9121037552423267
binary,16147314059929436174,5004968023101503874,16816479561217764296,14.123104631621727,482.1632854029198,411.03959293690986,0.0075686569440811665,153.97467359926577, 0.7709648173201873,0.5690374048482172,0.17683168993649534,1.0614201874595308,-1.1055086408391082,0.14098693381284663
binary,13773088745532235783,17459464094501510570,3051747209733925607,1.8619987610376862,527.732925114115,375.88186681812806,0.014516527850966649,87.50793586260298, -0.9071110757002774,-1.6726543055705283,1.5196691710573003,-0.6169094400953185,-0.4660921047492708,-0.008611853996345172
binary,2256763679668732050,3931611812464483394,15703983053483124436,0.08345371669239345,528.6487654721778,447.499132268734,0.38312214448585,135.48274275436506, 8.937885956589088,-3.0973672633472673,-1.5106182875578233,-0.372529096514408,0.08562108369401839,0.4183749099131742
