type,key,k1,k2,M,m,a,e,i,dx,dy,dz,x,y,z,vx,vy,vz
binary,5124469309916735426,10934610034437924958,16068092390932629226,11.347696056181988,505.03903991149906,59.43133827449556,0.0018545924653919359,92.49508535554092,54.24019116862444,15.596986729419891,18.96548236368507,0.26639493185942403,-0.147796346500028,0.18092868697550765,1.4935569196794387,0.4818080079492321,-0.502100648104263
binary,9310727774126879192,18077265853314223397,16955332005304622776,3.2747951127422943,505.75486778859636,180.74520225373874,0.03456894847075642,126.317440477447,-123.41198661755222,139.55293063707842,13.15751703980916,0.43606801499403325,0.07098270604724591,0.36633915003615286,1.4787260775688795,-1.7482330442156855,0.8428935594169701
binary,7473418080991208547,16736475586950441343,40469556984071994,2.015721062906597,506.77073795927805,344.1357053182063,0.039889703941420634,117.10061634957108,19.69391968642001,239.80190763796892,-260.71173872267656,0.6224877581891494,0.2457163660945402,0.05475115677248102,-0.22467651045591813,0.49705621819542684,0.5235660270472402
binary,3510345323488304098,6454551177905013104,14323032467769137975,1.6658936994074631,507.9984384653009,188.26696694881042,0.07083552152824199,104.58762353092283,-51.05255780496529,-150.43856466826,121.0052497565866,-0.3348827536239772,-0.1298439130675544,-0.364251922135715,-1.3053181336264095,2.0563898772426366,0.5361446930112159
binary,9969814643221371118,4163453460951279531,5070188410987522994,1.671721855837096,508.5429566659584,51.658736123603404,0.06563771081675791,71.82236084057125,21.83559910140165,-42.94211117491847,3.3225892151545398,-1.866829287098654,1.626498858090641,-1.9816184144302158,-1.4955624131128842,1.748378672585654,-1.219847289982438
binary,1473446646824520161,15547093312011220138,8938001520614868225,2.431680583921339,511.6715983263652,302.9372245470166,0.07202155107439631,27.908698446250398,157.17094832528613,277.4870648302141,-57.603980264021466,0.9103791750816924,-0.07382417784698021,-0.617799288138606,-0.556246872327463,1.0372820340860462,0.11595101489789952
binary,1521987272776703204,8634431129913957223,6192627756901841542,6.9176216598026725,512.5292040270666,253.78464762380747,0.03424415027562692,42.751923509521305,192.0279039145568,40.74049627504935,-159.16173497686324,-0.002224208188130649,0.27717460411188743,-1.3006674655124282,-0.22430630185512876,-0.21952132504642355,0.08089330275697632
binary,6028439451751089669,4367866758820321931,12773499366576163996,2.010905982648239,513.914215053428,319.2935507196832,0.11068775136098213,43.23767574049584,31.869086650448036,-277.4797903631747,-57.65071578959216,0.3547034456225546,1.0326417106669123,0.17473816013369775,1.9255070687575637,-1.3138001320927564,0.5902468555513587
binary,2226614984629236492,18081436115097178760,2186608768927439768,7.177640452068453,514.5050675799047,201.7405401797259,0.027759006305731568,50.24462467167105,-24.107116097134156,-182.85838102799764,-74.3747942796045,0.48901661388713835,-0.41525741068470695,-0.36070223758438813,0.7188586022284653,0.3551703271167745,-1.2694740131606035
binary,10377007959314239703,10442445403989095936,8497594961426334624,4.148106466564818,515.445259520726,146.9500600050679,0.01740753767405711,106.41367989633724,-96.5305292033463,-72.56339019191047,-86.85376830038453,-0.0160881767830718,-0.362610642670715,-0.1932006628394103,-2.0675655644812467,-0.7942404166137018,-1.2281114334561434
binary,488966417819740262,16914194238213657945,17981933295897952608,1.2088461739166958,515.7217008057843,218.7353703031389,0.03440538258489159,102.05870601590158,124.51615193989953,171.77839071498232,-57.48382195667745,-0.16418783565310718,0.6898628346438663,0.1053246190347958,1.8161820244079143,0.1623730929456488,0.8065743068626301
binary,15444152641264481562,4329826339575902730,1816084000546305363,7.03341306128547,517.0405072899825,253.75531790473445,0.1581832828577683,135.60628425383837,-105.64086902245481,179.26012041522887,-201.60281264503604,0.01203245584407372,-0.12348016939580099,0.3799251347934798,1.8634194618204667,1.1426044124880694,0.3370710511346609
binary,634241885551285593,4978937581938682717,17981038145131873445,1.986913463553775,517.8327952100168,278.94139351242137,0.02941041086056105,53.25316406039812,-153.49177975366013,78.96726599918581,219.52053431127936,-0.04841560244959739,0.7319880644066539,-0.4766241255639784,-0.32422883077369313,0.7753617099500509,-1.590320908755044
binary,11674173620675334779,15137859535620919507,11076809954441986048,2.378630537608006,518.0112197156733,46.46837346775697,0.059743365825213446,111.4325665297593,2.5200475237491493,37.63399608282463,-28.498071147452386,0.14649266440686923,0.6719728824274995,0.101148830045581,0.5937481469398672,-0.5844968343886172,-0.12743067148276813
binary,13076416225833812351,9456590571556133902,11665094976558612165,2.4582422395959287,519.7154918338102,213.23025273144324,0.03786217695718917,128.78517226249272,-82.44311967155551,123.3462115746218,-141.7203128479621,-0.814775749707271,-0.1963762897090499,0.12864360468899028,-1.5238328959291243,1.524073634249388,0.5549761394520978
binary,17581101015331257895,15884660983690826673,17662941351018267611,1.314526379529401,519.7957701241686,191.76321257931153,0.09292208269603472,106.40052365990154,-170.14787981823414,37.06908862004024,-21.024650998707173,0.8672989407703333,-0.23874016336653106,-0.3738555870878764,-1.4919440920666895,0.8514159070385336,0.6794780385982282
binary,3887849703274201606,6408214017992135890,1863369259727036846,2.701167999197079,521.0189999673127,310.57900880597003,0.014341495313225601,95.58257931821504,-73.07624142020416,68.03207201170603,-298.72028587555445,1.0689819056868457,1.6123090724274212,0.06598431261984412,0.7275257336289546,1.115734942756202,-1.036326955080628
binary,5231830338445364311,14380497208254691784,14550633367739298356,6.010703193646878,521.4278858801866,116.20114345304454,0.02360851989869617,50.19884825355776,-108.56173705261872,35.58374014109717,24.683036482812366,-0.8311928744066295,0.4675438465010507,-0.15771245969763123,-2.0820509699550045,0.8788136433563442,0.4034736991097135
binary,13151844421216881676,11149191440607306048,11696837409585707358,1.647161017567891,521.8761729322295,341.7096163981949,0.2677950476715242,84.44131538918684,-201.27436689254608,-92.13680334536494,168.97199720902677,-0.3642985647263067,0.35977421232632545,0.030172982863619954,-0.8070892041000397,1.1693607505073562,1.8793540750789137
binary,2711471422432438122,15052140362225469811,11422713481096171692,2.9208178350116927,522.2354901897512,166.92197519819723,0.01320543250625186,131.14422860222476,33.68539313194361,142.3408224130998,82.51436802151375,-0.30630606690516266,0.04717550024639648,-0.5434220632332034,-0.004684082039107695,-1.6639308236040495,0.9659939386403178
binary,16960041364905862164,13715836108432065917,8188807260246592422,1.8289202846948769,522.4004884738868,292.0996398992993,0.42560299029726684,121.39871517538768,-264.2517660374311,12.015114625158471,292.00312587149693,-0.6061561125361872,0.5550975925092427,-0.44720566266197725,-1.5599653247761744,-0.3015695880897052,-2.0704857585594874
binary,13486051239666739985,10926272070559223345,11324949953923289649,1.4921883811818828,523.5685111181851,111.87658122966941,0.15250495463246846,17.044482810008226,75.48624961704336,-92.46892055341205,-28.904291422271818,0.20138098027450957,0.010230003142811382,-0.3654260735970988,2.3032900595102785,1.1613233771222127,-0.7598583434644943
binary,3371250958843997131,11414729529526676604,15135827168283667707,2.8732721598520867,523.7554836960414,396.58080778293356,0.10641290394754964,59.60091120842816,-312.1636237191148,-1.696068461569785,-281.2443631383431,-0.0030527257105594586,0.1448695248774887,0.04103491990817466,-2.948322959886867,-0.9755049597381363,3.0645068572809184
binary,30736518299767739,1634986509058254960,3791015860612942413,4.344632553001023,524.1350170985959,304.7406226537661,0.014041983898423177,105.54037706634186,-294.5019964724038,-24.34347107240672,-86.62678718466306,0.7957871806973958,-0.44986991795087317,0.7643672607211763,-0.257041606748528,1.9470954323389005,-0.20560475011862211
binary,14243697677873681404,2444497690556677114,7503945815598761202,0.6158581604837204,525.6852317753089,316.1245170562282,0.028309784151054715,147.13946500651542,-212.88591676844595,169.879649131349,149.43096048714602,0.001252748726559393,2.1729903737317176,-0.506547328274814,-0.44860208971972465,-1.043672251937179,-0.026070213183353202
binary,3031987094807423932,11073330641136868751,5728488732154727444,4.266766784981394,525.7032733578297,222.28964168947655,0.039461471544842044,131.5543341811245,-121.5892821168497,89.48014942641373,152.5687596471192,2.087064428650649,-1.4700957151032157,-0.5875901934533955,0.04946729278168879,-0.3337978383572248,0.4496121701606329
binary,3461478786192706215,11763851593014858784,4305177730221632638,2.3593689136853717,526.2725370060055,234.42922965178008,0.09008847370398242,113.96770958995171,94.16229261733376,50.36190331598003,-231.17605456506396,0.8967286676293937,0.033684733308804754,1.2032826404700616,-0.7103567043889243,-1.1612027402906313,0.5333923627717212
binary,14161453385335044713,15321194297106483333,12659595705061924753,10.957883860403511,526.6241954030166,142.62454212937894,0.009974264787552183,124.67382497606242,-84.72505247414945,99.85050748585725,54.92828465107528,0.9137317457890884,-0.26087743515132394,-0.5090074473934001,0.09684845774865136,-1.0284043238483007,-0.20038572940896945
binary,8354107747717594312,8022282075053765048,1853538919397666681,1.538692325299883,527.3407987978715,289.9906610266779,0.05378755137666877,79.19516239612577,73.08242157466577,68.44117678592046,256.4751952283254,2.2619359510422115,-1.1491741865071026,0.39537907793265425,-0.05813796654900433,-0.8818679638475252,-0.02343000516311204
