type,key,k1,k2,M,m,a,e,i,dx,dy,dz,x,y,z,vx,vy,vz
binary,5818638123461335530,10710947183492938058,6279995597305735177,1.585997211497115,1584.4112142856177,997.8232313452521,0.40582241912912254,106.64375778564204,-973.3902037892342,-757.4682843495126,-553.7556148158451,0.4001828298642626,0.8265931687825071,-1.033654978396052,-0.20461121018258632,0.22995416608089722,0.4999771857337028
binary,10827982883752870596,8641780079121149859,1477559056608481218,2.1366886469628166,0.0,511.975296785684,0.6740302521619411,115.41584788102236,-274.16196830264414,252.0856559727141,771.0899878491907,0.28237074157995173,0.09335684238093654,0.48160820346708144,-0.5026950642456518,-0.7979781835510901,0.8281403669458006
binary,1369922506216163591,16720265544535683345,14718580828987014338,2.306706510165923,0.0,896.6140285403558,0.9891753388987743,125.17845345162364,164.13604676558558,-19.504211954559175,90.11890571449871,-0.24276151714977315,0.6537690795968895,-1.006267195343024,0.4776752412670543,1.0700920165376056,0.5775202023854858
binary,12965389107389561456,2975776368479674455,15103792596454586321,3.5402606979624425,0.0,425.4106177177117,0.990366124824576,46.06848000165101,-118.27808026374339,-206.5204427650098,-178.28225423009673,0.0017170537559750305,-3.816352472044926,0.37230212694486464,0.012344209763348886,-0.033098589814739184,0.9559418863967292
singleton,9981032234967758227,0,0,83.94256591938897,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.4023372043478244,1.776563854793963,0.21594952294667583,0.34366039351927014,0.5465814909616469,-0.22641214567986828
singleton,13472262518709934842,0,0,84.1105425232175,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.7679087500820495,-1.5271922726029177,-2.6172224019047845,0.6338703896323349,-0.045850173006854414,-0.4630917624718222
singleton,934556099971977186,0,0,84.12480374303837,0.0,0.0,0,0.0,0.0,0.0,0.0,0.33388307005005474,0.014735676604537352,-0.3271644706653393,1.2739878510474614,0.7997559604161733,-0.5556880575103582
singleton,1614042615627073015,0,0,84.27719119224889,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.008110821702895806,-0.7637059716191591,0.657846222858678,1.4286454361266774,-1.0565296043657113,-0.37861915770710686
singleton,1536303184059806651,0,0,84.39204773858228,0.0,0.0,0,0.0,0.0,0.0,0.0,0.7052091190096281,0.07752390064508521,-0.5310838509147732,1.6739221393420292,-0.7496485294768788,0.5996646974485575
singleton,1531482311370440221,0,0,84.41498610382082,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.29261726331950194,-0.44580796584100707,0.8330237880231357,1.3305310246952704,1.2181986046482232,-1.232722259531238
singleton,8925574165894697902,0,0,84.48373861293065,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.014212283632535268,-1.075956187963305,-1.5266000415620726,0.22757677027188802,0.20069088528025633,0.7851581697938674
singleton,8071279974615080769,0,0,84.48669039032437,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.4214292136245846,-0.8467505956210074,0.42347800223567944,0.9375646542479646,1.4425992124269298,1.8264331594534673
singleton,6683157753391502007,0,0,84.49105769649307,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.2492385540811466,2.5215437788106247,2.3085573885691946,-0.607669341605553,0.026425700919213965,0.4608823087236871
