type,key,k1,k2,M,m,a,e,i,x,y,z,vx,vy,vz
binary,15526833205165611758,4615494083458669008,8266474608744474980,1.1354748281282918,419.42893583212526,163.327178000271,0.01541656735091665,103.860581327514, -1.7169529832399852,0.5844570763420864,-0.4445127363338363,0.9943255099824425,0.20935553104970317,-0.6008267630403916
binary,9878264983265326879,5329371563761363928,13846252051836374605,3.839663148791095,420.129170262978,415.96715193870153,0.013461909644841227,29.659662067356425, 0.5718004190554393,-0.6713817944426047,0.921749246220534,-0.20216951996183918,-0.8662766281265576,1.5379496913693884
binary,16498565668095107921,14611316326153842384,12260985127866282876,0.35815589855300806,421.9254151044637,397.78905235289875,0.007594126327965703,88.59927922477662, -0.869064457775268,1.1398620704906326,0.014874417324036071,0.5508142008514343,1.3192357271459798,-1.4628645285221245
binary,747574258055434195,171240701162715015,9675764028047259487,2.2732106182677745,422.4763326271812,951.8379062492858,0.04208210160219051,121.45056241971801, 1.0605680759524094,-0.824703808228965,0.06725541046670197,-1.0470451927185973,-1.5257840595511194,-0.9539391578351435
binary,5473565983662404910,2338508793026532105,8030413297585056892,0.1431800290628297,423.288487495996,576.740473810191,0.08333988480635181,68.35868899056253, 2.0241920638737088,-0.9336479350962179,0.008672822048738487,-0.6182749356490962,-0.2170437690785006,0.03175964731982437
binary,6310258831197512525,11851069021402662539,11558584253998179351,5.933149880891286,423.335030858444,715.1540831102154,0.008900433677300862,82.79913407227535, 0.05561861585878152,-0.8055066665592072,0.03557107855626316,0.3073234426913463,-0.2124414196839188,1.543503087853765
binary,1665056953446227092,9485276138434717172,16661396395441090125,0.9563971836935201,428.0493940119026,491.17836110123926,0.019975617052523067,83.41751047155853, -0.5175478303403506,0.4915600452815214,0.39140690211067924,-0.8783148923486819,-0.8276235693594399,-0.7917427390896231
binary,10118010028741875286,1467126584495771734,14467967636047433679,0.3679146025349025,429.7783494577471,785.8379321229695,0.03501465966529921,96.79558317751834, 0.8873706904663392,-0.36609211580446016,0.9354293960157376,-0.06732036377149465,0.3677876196190715,0.5419848791446039
binary,180448052740605009,7614155051589120790,3655581108549769916,8.984300077616666,430.03107662920877,745.9949434834198,0.017105296344934462,79.96899620262144, 0.1093770252132352,-0.33432641545077413,0.8003739522318691,0.14608358370693664,0.7943724215644044,-0.4030117502608286
binary,14507864667924574908,15390751237436630211,8653681827543496543,4.23600369289673,430.25209063596964,676.5048516407717,0.016706838121823466,42.55904715496535, 0.39221074295580766,0.9190675626816768,1.3191769643587965,0.7194956355083272,-0.46762311646927196,0.33703458320068524
