type,key,k1,k2,M,m,a,e,i,x,y,z,vx,vy,vz
binary,15571302556877169763,16814404715879338957,32833707725717298,124.07334849446819,394.55688497930436,447.4645237239788,0.4185138645597358,106.47028241935269, 0.16594190406095902,-0.019132976980781258,0.5963400376439496,-1.1229107264221352,0.3201479894283819,2.2234217848415896
binary,408430712371421164,15745474386367167540,13392885847261096694,1.5056136766063755,395.2823912022634,712.3481891494474,0.3771821338048068,72.67411419353404, 0.23867868334903838,-0.07259402771448316,-0.29752925120954765,-1.7630776913034116,0.6267499462284287,-1.1379050266313275
binary,1993895244548448775,9192707979877689672,8968179996898973613,1.361765103781099,421.3333441547372,310.2503157715603,0.3511290359477295,130.9130538270589, -0.017779848563237836,-0.16297136256771075,0.17821094337172233,-0.671231661719188,2.4084326927643116,-0.15497541955624075
binary,7530249079155406120,10614790033031974453,7544940426304279291,1.1025347924099478,421.75750209924104,427.1701613641384,0.1977865470702551,77.15589250880879, -0.2323913556708573,-0.25071555382890626,0.7995008125840906,-1.2689603483200442,0.6612083491108345,0.36963365636470225
binary,10981224717216035368,9389909057030696837,1385672159121558678,4.663667673423667,424.6498011958072,481.6530911219966,0.03184003012184597,53.18273234882816, 0.511545256247799,0.1678867342308609,0.1346735341946005,-3.472591883653464,0.6774388047895908,1.525881655449856
binary,832804663871385626,17811602375628171977,2237373963543440333,2.7819992725915874,424.9148008178736,412.2865491114151,0.0029823172231998856,140.15506787851947, -0.21987339131062417,-0.13961951865983127,-0.47732186247987235,-1.7821540779654799,-2.365199121585393,-0.42256118946131904
binary,9730064340553726261,4481722942912506009,9160320798851589896,5.762771857912479,425.250880645171,53.51944779628295,0.24203446549119104,39.001507555712614, 0.1171945226221121,-0.023194994669594307,0.1361473632406612,-0.002716463394374107,-1.8947302558710457,2.4864260019989595
binary,4178501502916918130,304625847611723436,15257346582153304754,5.929003326066997,426.1259509929923,971.0351815291245,0.13700850827382702,19.94637262373389, 0.2961079677143332,0.3340946705963937,-0.18724636600244815,0.24975232387672988,-2.742386449184162,1.0347057196414744
binary,10382104194445470676,16838361207147922002,16088569622247787268,3.8916721603713698,427.7138259415693,324.3558570357857,0.8567165656643884,83.8050402676622, 0.3033666225826266,-0.12504212155341748,-0.10853015158294443,-0.033184610011730085,1.0742965367133797,-0.6500405203897044
binary,3861269315044575356,4727027450494121327,16961712234908939841,5.4102879052065935,431.8656647867184,254.80533712400083,0.08771580188113672,66.58756423213362, -0.315670326379895,0.11871285248284362,-0.19947680665107134,-0.8127852315902776,0.8590810318279006,0.24759634098872949
binary,18169922737266043570,18059923000171743589,11253408667324184109,6.283195543355769,433.2182930871828,201.1905405890933,0.9300124676424701,96.30053960783795, 0.07696328429671298,-0.016594377294248543,0.002844053593432563,-1.7439750972665373,-1.6872510710155084,-1.8104092764444235
binary,1953892599746296208,6386101986710012158,6827275710941609657,0.6531884068185448,434.3613241304114,86.64897168838891,0.25099122179612976,52.898727522876, -0.11253962628330566,-0.07287511495535903,-0.058746622574635095,1.6290122468429242,-0.2986784689414485,-2.4201591361354335
binary,201993406407194865,9567541295176013756,6145716060383736374,1.7893272961807805,435.18848736827965,131.18120402019147,0.2333795738736028,61.92790737554267, 0.10819216342040315,-0.025631579889986364,-0.02447537787695635,-4.489456198041925,3.0848519617176042,1.364055972909199
binary,12934163419012247388,6367258782286171825,1834574803631980706,2.622115263472575,435.5438397479871,492.3481800851905,0.12037723265842738,13.923281722513307, 0.056918362763588894,-0.05292873998540776,0.01980153916764912,5.934527460082802,-0.7408139555400173,0.6452126647751788
binary,7444303661043208954,4688570062699311974,18062444671178853119,1.1888021192861804,435.7775697422268,255.75786896590736,0.37941215152577823,74.00443911136512, 0.12583604324384315,0.44925627903750576,-0.20503875696465898,-0.19603480998411543,-2.791688071334085,1.07631400258521
binary,4036913369997947245,10306218695537230870,8896769480618294001,3.636604742561399,436.40456428125214,615.9206237102036,0.03509686832511771,41.528928741601746, 0.2956138073136054,-0.14367959281715198,0.5087414423132395,-0.8260170176180035,-1.2119153856180869,2.5848445574399457
binary,4137947634241566263,16441138001337167151,4973715810961690348,1.0951054804408242,436.8138679603866,503.3847367745046,0.3914004245777669,43.891286716225, 0.2483842016873042,0.033736457347030305,0.5119481351385332,-0.35850083613417605,-1.5517716416603584,-0.2359279528643406
binary,17874021278612396448,2318268982455829373,15675767558196432271,1.0420285734686447,436.9810393223466,482.63808781112584,0.47655861362346846,113.1373246920362, 0.24193057110376134,0.055254977112604534,-0.1783615614967627,-1.9083399153649732,-1.9576279884448837,-2.479936867676222
binary,18429075939491328392,15586785651888371468,6045888174958022656,2.618928831324422,437.25621889154354,663.9893435411498,0.6175311064975745,61.84445429654231, 0.43168676110360016,-0.49639439910358196,-0.239596586118603,0.05618267770421207,-0.8282951954831802,0.9473431639179448
binary,15821786506242666843,6388141435437536480,12861021490747455200,6.107311715556907,437.3322929060451,263.87660686503654,0.06259038997701091,148.2070235336271, -0.2520718419640749,0.09969148053634423,0.5701043361826068,-1.8501939601707214,-1.6164603558183241,-0.7888503671166666
binary,3820502814887669927,12225920870933458894,13030432869272764917,1.5674219779302923,437.6154758851129,126.06425506201798,0.7853835826683808,123.08153798224203, 0.14561324708199064,-0.66614491504979,0.2853236418610254,-1.462018761105502,-1.163689501195325,0.4385477373640518
binary,12920423286057962869,8276458559904338104,556587173314430421,2.9926252891509337,437.74801167346374,35.87313769350928,0.7525095559029115,53.09286094245523, 0.2017965567392881,0.11491991520141698,-0.17254398458046905,0.3216449755590427,-1.6280427772310764,-0.015005160044871693
binary,764755276883133969,2320208664904624521,9050437616375844175,3.396488051438224,438.0743128479209,191.72197254412183,0.18199774201474586,138.09603631359633, 0.07876119058975704,-0.2321705241678533,-0.36343189291425704,0.36839886257177434,-0.6110595095970824,-1.7816287548129695
binary,2458698162515761663,3075578525905415817,15795479566786348892,0.9170476924538085,439.3175388932161,215.79697847068437,0.8502772817626398,109.511279170489, -0.3106575088127578,-0.1358472480569242,0.11789269613391516,-0.7167878135285902,-0.980312672371489,-2.2828817799838617
binary,121160862911978014,3863221761317032697,15729501200606554029,4.270484708455687,441.4793055486448,918.4272843615234,0.5303770833173812,47.737665105401504, 0.028281338929788156,-0.18540135082652737,-0.1808599211328941,1.3099266138909849,1.9616716022658685,-4.157454363152956
binary,14095360194241129609,2141060138363445543,11802437008779513376,2.093896212084508,444.06966812485484,186.27895433938392,0.8778224561973852,154.6290107939061, 0.054535909299056884,-0.1236523693226766,-0.0785628969254027,2.3017071480037608,0.24225286693810005,0.3018366753456904
binary,1273803516222806509,15744526722225016907,16663989337870056041,1.635408524262086,445.59669275203373,207.21447323299193,0.06866645703239006,69.36050098610859, 1.1076046486954205,-0.5387800787607423,-0.04026917565048383,-0.6095458606142184,-0.7467570974822549,0.7240822721898749
binary,1410490072352863608,580641733764820161,12950620859904562299,3.3053137584009313,445.94395847095205,256.1336262112019,0.4266232397123036,49.36231564849999, 0.14763293967359026,0.291280671997796,-0.25016091099353793,2.8422573961214335,0.4291015404200765,-0.221141375969895
binary,6171019823061322485,15983029156173539405,8131803512331257939,2.2666339849702606,446.9969760815151,703.7432232890272,0.2687069954186576,53.401690353507895, 0.05577904365943834,-0.05624525059684236,-0.1787196982076835,4.5700231739361445,1.731403695515205,-0.4628942935518985
binary,14580734114449002383,5102674184448783896,6783237519792966734,1.1719190280964926,447.983677496013,936.9096036404814,0.028987813852765134,77.71024176763846, -0.060413665872213085,-0.17155510766336649,-0.46341128942923243,-1.1471418233069652,4.11997571407808,-1.3054978736202913
binary,8382241904515475039,18356587685962397022,2683331405079721877,11.183197763633652,449.0772284495855,210.81483224606276,0.04570967320873249,42.62444500458224, 0.062096171586059005,0.15790590861551684,0.0371360761528833,-6.049597743625337,-0.9752575040987334,0.40568654450545133
binary,2619118493214725900,12584989829509037780,6762578157165315663,2.0539015813472212,449.4672212739612,679.7634842161478,0.05332195547784796,64.83168640417973, 0.1533100593919956,0.08594067260365207,-0.3873833310812142,-0.8281926294493145,-2.5950695948797633,-2.6405530448070293
binary,7488408220608116866,14242738291881689826,14649704091081862723,2.0469644803581133,450.68187491574014,318.6300072613505,0.3484861383778352,162.5679017163564, 0.39467984364939673,0.2945899071384894,0.02566632015413287,-1.7126046184493344,0.10140805292290782,-0.7372281436102381
binary,11301041363633848223,2973149396824810652,6104423910976176139,2.286215330411625,450.692454094329,267.78203422160993,0.3047547531299465,42.10415521216056, -0.14812777235107485,-0.10198408961762083,0.01736058899158895,-0.2841301285121748,0.8055765582070755,-3.35217383584093
binary,9109837681950900183,3029569588313853904,8241445828293344696,3.3879477131076015,452.49515806847404,58.65781796667273,0.279386712506096,121.64996522010568, -0.027991514513550413,0.36541889953757545,-0.10770275383268334,1.6467582582710445,4.64536765247155,-2.710159913262429
binary,15952321682501927566,6392258205355450540,17608936823450960945,3.138349658422352,454.1603118437586,409.53176324880934,0.0495005050619813,47.03046983088785, 0.3304189857920641,0.19493046434332173,0.018225396714835126,-1.4134980954717848,0.5955914397284965,3.0525653810321915
binary,9102546041460758537,18435445328932883130,11248470671329959633,3.1739849492064156,458.13766055997854,716.9174185750087,0.3287720015936109,36.73346699236369, -0.07382826245899694,0.14825507525407544,-0.1421248688316539,2.662722849115025,-1.175932038851651,-1.5256558787452803
