type,key,k1,k2,M,m,a,e,i,dx,dy,dz,x,y,z,vx,vy,vz
binary,11551250265808334092,9391254143927500134,15745168971484223006,2.838911257232209,495.1257447334839,205.72887179012275,0.8611816687523637,177.63126383540393,-6.140345887458297,-63.73099262008132,-2.2300713959765646,-0.14643870618286647,0.37854133673013524,0.28087364406596,0.7637876389161214,0.5085044599419253,1.3272903445032707
binary,7473927506034285417,16672443231981158498,14172447113927789221,4.820039866429216,517.9460367397636,254.9168113545319,0.09344495581729698,69.62090188724443,-200.791136942353,175.69887511265586,-80.46145698983804,-0.0985878106163685,0.0449624499975558,-0.07098943005547108,-1.6165112029803441,-1.7445003990225456,0.9531595771028711
binary,4319002877384442820,6876824372244063905,2874938351342741140,4.681979124530364,518.9694698646531,269.4720830972971,0.31536508740326297,29.52177588833837,135.41321579910172,-268.4953859792986,87.24103474852245,-0.1158519744146277,-0.03196664073685775,-0.07533064883365415,0.8418388179823755,-3.6234040065809627,2.4947304163757744
binary,10165819062499932708,5485534533382499488,5501070980766573873,3.676629135662851,519.7659587140232,186.21831701865818,0.3547156752646101,109.25662120567446,10.48052652900042,-77.1006543706568,-194.99475987302407,-0.2200041996077664,-0.23824496358227634,-0.04989801508817844,-0.37037394575044263,-0.9149973122085522,0.0022868798820041302
binary,13656882004440609196,10362519742038975498,14998179204972466785,2.1611377378504186,521.0374334280052,28.89799904928896,0.009071809120486902,111.93250689625151,-24.026884586681767,-10.609193553276675,12.33830755774283,-0.40410888367473385,0.028969752106523285,0.24014519978963256,0.0022494536742857034,-1.234051032195881,-2.1936256633482656
binary,215486081982238941,15653258190904598584,10019046415645397524,2.498962009231927,521.5468340919429,192.3687193898156,0.02868065145784804,60.57693893912236,-96.37737922825191,-106.78947729291346,-129.75512026828548,0.08216634271557795,-0.02100619383614574,0.034129040717547604,-3.756843797120344,2.522175838039364,-0.25285788705150797
binary,14170784511358301307,4933998196654369779,18323256738851140104,1.8968602920414785,523.5207929437186,419.54163181712437,0.11027104057399757,46.942709462424,-116.76562573390217,275.23115941615526,273.76817221117983,0.20749050869796548,0.0746561181518532,-0.04921387461009132,-1.0069104901261214,4.169844089550402,0.8111927729920202
binary,10525847481517940155,17217985197519869524,3708410592083352886,0.9607743836101129,524.0571772727495,417.1568291477448,0.37595555859479346,51.18951179039158,-22.59147140938767,342.7351519575652,225.91600295881372,-0.06620437808357611,0.0035657753750749123,-0.013999962608326111,-1.1172369088718777,0.587891535133325,1.4286914637429535
binary,1929831465096126896,11336170886491682391,10577330168091709030,5.48671250475622,525.2544198299101,227.2328713212279,0.02758163447027519,71.89848445706666,51.880663616015795,53.44065032074661,212.31652118674072,0.35374229821718184,0.33928947393479497,-0.25866011504906,0.34865999499241557,2.0891749106402915,-0.6709941092674856
binary,12055142235020629452,3846193726040858652,6723970381212298348,1.434555343627156,525.4893407486086,226.3001030265585,0.095337486954313,92.77229717952606,-24.00806943046999,206.8201018200614,-54.930817602268036,0.2160282253692407,-0.0781755733964389,-0.058929418585022535,0.9081235062372346,2.5207361488951374,-2.0341932573639587
