F,amin,amax,Nss,Nsp,Nj,M,dM,m,dm,q,dq,a,da,e,de
PlN2500n600cs+2400+2600+R1pcQ05_R1.csv,2400,2600,2441,1197,18,4.135742064552947,3.7917196726390765,5.856812088805516,4.358683713502566,4.013220740969192,5.646957875374023,330.58825361435487,204.70542291577195,0.7834173245655348,0.20502746000827057
PlN2500n600cs+2500+2600+R0.25pcQ05_R1.csv,2500,2600,2406,1198,21,4.091657675763912,3.392269194589192,5.746476215350248,3.9433105739722056,2.8261086787904524,3.460299359290128,259.9377725075206,200.07665780706012,0.7613573717078362,0.24680895038477768
PlN2500n600cs+2500+2600+R0.5pcQ05_R1.csv,2500,2600,2427,1197,23,2.9841964515610333,2.4899468702557357,5.927678948465301,4.930197582133394,2.883211383736159,2.633388558233054,288.33691879661166,192.62156368760836,0.6803729423077043,0.26304668960773525
PlN2500n600cs+2600+2700+R0.25pcQ05_R1.csv,2600,2700,2418,1200,30,4.025366325407698,3.591476808859665,5.247645268598095,4.078495423754307,2.5814611254044824,3.429473721197219,237.4723821567789,198.99355067337453,0.7820335856747315,0.23802549516412655
PlN2500n600cs+2600+2700+R0.5pcQ05_R1.csv,2600,2700,2438,1196,13,2.812696381666071,1.4446823453551805,8.150005401092407,3.9272090183459016,3.4312040475572703,2.2759039617252483,371.5063196337047,214.41319499110872,0.613621821348386,0.2657012044212263
PlN2500n600cs+2600+2800+R0.25pcQ05_R1.csv,2600,2800,2440,1198,12,3.5041528027919413,3.8307719675191394,4.4040612043602945,2.6476611768749816,3.0905804394029324,3.4327887123453302,327.4461907419433,231.47276204914166,0.7826998918516085,0.20524646465990895
PlN2500n600cs+2600+2800+R0.5pcQ05_R1.csv,2600,2800,2421,1197,27,2.956405923634868,2.22105555692028,7.863079545942806,4.58583831051264,3.892206347044661,2.987472689171622,303.4849116453481,214.48882140941765,0.8239673059214616,0.1965377458724892
PlN2500n600cs+2600+2800+R1pcQ05_R1.csv,2600,2800,2424,1198,29,2.829066635530082,2.8276080707299505,4.7128156722275305,2.8597722201080154,3.2433613988232723,3.1059188720654656,268.1190767495692,145.3310345224418,0.8358655306788744,0.1787705099265624
PlN2500n600cs+2800+2900+R0.25pcQ05_R1.csv,2800,2900,2436,1196,18,4.303231536004443,3.328161963867364,4.626465170401588,3.5432084079495394,1.8139393554766368,2.1665267568722304,266.1182697392579,212.02810338212018,0.7580886998106076,0.22572060386812878
PlN2500n600cs+2800+2900+R0.5pcQ05_R1.csv,2800,2900,2425,1197,21,3.8883957506890194,3.406514082517245,6.420535343631748,4.681311935548614,3.5276346293432024,4.11480124439976,304.2501215657163,242.23880375025334,0.7547144796656771,0.22123509215720696
PlN2500n600cs+2800+3000+R0.5pcQ05_R1.csv,2800,3000,2442,1198,18,2.5416525905289573,1.9855820466598508,5.902548628736586,4.789770758890107,3.26244874323401,3.1435745327290485,254.9554627195391,203.0304411448624,0.8635386416765446,0.2010068835458286
PlN2500n600cs+2900+3000+R0.5pcQ05_R1.csv,2900,3000,2422,1198,22,3.8635587508698985,2.791859612182998,6.757000481096034,3.4312118861829477,2.9880820827434307,2.848626252805405,276.93295082646955,240.72783515394008,0.7603762897899611,0.3067666979188945
PlN2500n600cs+400+600+R0.5pcQ05_R1.csv,400,600,2500,1200,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PlN2500n600cs+400+600+R1pcQ05_R1.csv,400,600,2500,1200,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PlN2500n600cs+600+800+R0.5pcQ05_R1.csv,600,800,2500,1200,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PlN2500n600cs+600+800+R1pcQ05_R1.csv,600,800,2500,1200,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PlN2500n600cs+800+1000+R0.5pcQ05_R1.csv,800,1000,2008,1200,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PlN2500n600cs+800+1000+R1pcQ05_R1.csv,800,1000,1960,1200,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
